node,num_ratings_received,num_distinct_raters,num_negative,avg_rating,neg_fraction
5801,8,8,6,-5.75,0.75
4688,23,23,17,-6.6521739130434785,0.7391304347826086
2017,45,45,33,-5.088888888888889,0.7333333333333333
4675,22,22,16,-7.0,0.7272727272727273
4686,25,25,18,-6.68,0.72
179,7,7,5,-0.42857142857142855,0.7142857142857143
310,7,7,5,-5.142857142857143,0.7142857142857143
3378,7,7,5,-6.0,0.7142857142857143
4748,7,7,5,-6.142857142857143,0.7142857142857143
5198,7,7,5,-6.857142857142857,0.7142857142857143
5480,7,7,5,-3.857142857142857,0.7142857142857143
4673,24,24,17,-6.708333333333333,0.7083333333333334
4684,20,20,14,-6.7,0.7
2657,10,10,7,-5.8,0.7
1331,16,16,11,-2.25,0.6875
4667,18,18,12,-5.5,0.6666666666666666
472,15,15,10,-3.7333333333333334,0.6666666666666666
2343,9,9,6,-4.333333333333333,0.6666666666666666
2778,9,9,6,-6.222222222222222,0.6666666666666666
1139,6,6,4,-2.8333333333333335,0.6666666666666666
2434,6,6,4,-4.166666666666667,0.6666666666666666
2548,6,6,4,-2.6666666666666665,0.6666666666666666
2680,6,6,4,-3.3333333333333335,0.6666666666666666
2684,6,6,4,-3.3333333333333335,0.6666666666666666
2699,6,6,4,-5.666666666666667,0.6666666666666666
3025,6,6,4,-0.5,0.6666666666666666
3027,6,6,4,-4.166666666666667,0.6666666666666666
4427,6,6,4,-6.333333333333333,0.6666666666666666
4687,6,6,4,-6.333333333333333,0.6666666666666666
4991,6,6,4,-5.0,0.6666666666666666
5115,6,6,4,-5.0,0.6666666666666666
5195,6,6,4,-3.5,0.6666666666666666
5611,6,6,4,-3.3333333333333335,0.6666666666666666
3341,8,8,5,-0.875,0.625
4708,8,8,5,-5.75,0.625
4698,10,10,6,-4.2,0.6
1535,5,5,3,-5.6,0.6
2567,5,5,3,-2.2,0.6
2601,5,5,3,-2.2,0.6
2623,5,5,3,-2.6,0.6
2666,5,5,3,-3.6,0.6
2669,5,5,3,-3.8,0.6
2671,5,5,3,-2.2,0.6
2704,5,5,3,-4.6,0.6
2712,5,5,3,-5.2,0.6
2721,5,5,3,-3.8,0.6
2877,5,5,3,-0.6,0.6
3193,5,5,3,-4.4,0.6
5021,5,5,3,-4.6,0.6
5237,5,5,3,-0.4,0.6
5367,5,5,3,-4.0,0.6
2574,12,12,7,-1.6666666666666667,0.5833333333333334
1647,7,7,4,0.7142857142857143,0.5714285714285714
2505,7,7,4,-4.714285714285714,0.5714285714285714
2568,7,7,4,-1.8571428571428572,0.5714285714285714
2585,7,7,4,-2.142857142857143,0.5714285714285714
2670,7,7,4,-3.0,0.5714285714285714
2682,7,7,4,-2.2857142857142856,0.5714285714285714
2701,7,7,4,-4.571428571428571,0.5714285714285714
2702,7,7,4,-3.857142857142857,0.5714285714285714
4659,7,7,4,-4.0,0.5714285714285714
4791,7,7,4,-2.0,0.5714285714285714
5479,7,7,4,-4.142857142857143,0.5714285714285714
5553,7,7,4,-5.285714285714286,0.5714285714285714
5608,7,7,4,-2.2857142857142856,0.5714285714285714
2672,9,9,5,-1.4444444444444444,0.5555555555555556
2700,9,9,5,-2.2222222222222223,0.5555555555555556
4279,11,11,6,-3.4545454545454546,0.5454545454545454
1753,13,13,7,-2.5384615384615383,0.5384615384615384
4683,33,33,17,-4.636363636363637,0.5151515151515151
2090,20,20,10,-2.65,0.5
2540,12,12,6,-2.5833333333333335,0.5
4075,12,12,6,-2.8333333333333335,0.5
1719,10,10,5,-2.8,0.5
824,8,8,4,-3.75,0.5
2683,8,8,4,0.0,0.5
4406,8,8,4,-1.25,0.5
870,6,6,3,-2.8333333333333335,0.5
1662,6,6,3,-0.5,0.5
2569,6,6,3,-2.8333333333333335,0.5
2629,6,6,3,-1.1666666666666667,0.5
2631,6,6,3,-1.5,0.5
2676,6,6,3,-2.3333333333333335,0.5
2757,6,6,3,-2.8333333333333335,0.5
4988,6,6,3,-0.5,0.5
5501,6,6,3,-2.6666666666666665,0.5
